image_path,gt,score_cat,score_dog,score_bird
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0000.png,cat,0.8653,0.0591,0.0756
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0001.png,cat,0.8876,0.0784,0.034
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0002.png,cat,0.7525,0.2415,0.006
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0003.png,cat,0.8564,0.1129,0.0307
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0004.png,cat,0.8492,0.0679,0.0829
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0005.png,cat,0.8939,0.0983,0.0078
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0006.png,cat,0.8533,0.1207,0.026
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0007.png,cat,0.8733,0.0288,0.0979
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0008.png,cat,0.8684,0.0084,0.1232
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0009.png,cat,0.8939,0.067,0.0391
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0010.png,cat,0.8407,0.0565,0.1028
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0011.png,cat,0.9111,0.0794,0.0095
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0012.png,cat,0.8285,0.0334,0.1381
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0013.png,cat,0.8766,0.0054,0.118
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0014.png,cat,0.8706,0.0884,0.041
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0015.png,cat,0.9571,0.0415,0.0014
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0016.png,cat,0.8243,0.0651,0.1106
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0017.png,cat,0.8808,0.0226,0.0966
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0018.png,cat,0.8443,0.0741,0.0816
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0019.png,cat,0.8088,0.1281,0.0631
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0020.png,cat,0.8871,0.094,0.0189
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0021.png,cat,0.7915,0.0651,0.1434
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0022.png,cat,0.8167,0.1475,0.0358
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0023.png,cat,0.8558,0.0416,0.1026
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0024.png,cat,0.8935,0.0149,0.0916
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0025.png,cat,0.8839,0.0009,0.1152
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0026.png,cat,0.8645,0.0901,0.0454
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0027.png,cat,0.7771,0.174,0.0489
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0028.png,cat,0.8265,0.0987,0.0748
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0029.png,cat,0.8362,0.0188,0.145
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0030.png,cat,0.8067,0.0911,0.1022
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0031.png,cat,0.7659,0.1791,0.055
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0032.png,cat,0.8582,0.0785,0.0633
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0033.png,cat,0.8855,0.0348,0.0797
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0034.png,cat,0.8326,0.0731,0.0943
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0035.png,cat,0.8929,0.0438,0.0633
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0036.png,cat,0.7862,0.05,0.1638
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0037.png,cat,0.8041,0.0551,0.1408
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0038.png,cat,0.8571,0.0946,0.0483
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0039.png,cat,0.8287,0.1343,0.037
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0040.png,cat,0.8813,0.0482,0.0705
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0041.png,cat,0.8729,0.0212,0.1059
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0042.png,cat,0.8319,0.0151,0.153
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0043.png,cat,0.7902,0.0969,0.1129
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0044.png,cat,0.8265,0.0869,0.0866
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0045.png,cat,0.874,0.0877,0.0383
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0046.png,cat,0.8832,0.0445,0.0723
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0047.png,cat,0.8288,0.1079,0.0633
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0048.png,cat,0.7657,0.0205,0.2138
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0049.png,cat,0.7839,0.2079,0.0082
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0050.png,cat,0.87,0.091,0.039
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0051.png,cat,0.8311,0.1637,0.0052
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0052.png,cat,0.8322,0.1203,0.0475
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0053.png,cat,0.8034,0.0535,0.1431
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0054.png,cat,0.8025,0.1783,0.0192
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0055.png,cat,0.892,0.0219,0.0861
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0056.png,cat,0.8717,0.0743,0.054
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0057.png,cat,0.8203,0.1539,0.0258
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0058.png,cat,0.8536,0.1053,0.0411
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0059.png,cat,0.8616,0.0868,0.0516
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0060.png,cat,0.9301,0.0454,0.0245
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0061.png,cat,0.7988,0.0837,0.1175
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0062.png,cat,0.861,0.0687,0.0703
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0063.png,cat,0.8918,0.0156,0.0926
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0064.png,cat,0.9231,0.0452,0.0317
/mnt/d/dev_repos/dev_ir_result_analysis/data/images/image_0065.png,cat,0.818,0.1684,0.0136
